"birthday","prob"
"04-01",0.00262372672085606
"04-02",0.00257228109887849
"04-03",0.00262372672085606
"04-04",0.00298384607469904
"04-05",0.00210927050108036
"04-06",0.00226360736701307
"04-07",0.00252083547690092
"04-08",0.00360119353842988
"04-09",0.00257228109887849
"04-10",0.00282950920876633
"04-11",0.0028809548307439
"04-12",0.00334396542854203
"04-13",0.0022121617450355
"04-14",0.00267517234283362
"04-15",0.0022121617450355
"04-16",0.00246938985492335
"04-17",0.0022121617450355
"04-18",0.00277806358678876
"04-19",0.00272661796481119
"04-20",0.00257228109887849
"04-21",0.00236649861096821
"04-22",0.00236649861096821
"04-23",0.00210927050108036
"04-24",0.00226360736701307
"04-25",0.00308673731865418
"04-26",0.00267517234283362
"04-27",0.00246938985492335
"04-28",0.00252083547690092
"04-29",0.0028809548307439
"04-30",0.00174915114723737
"05-01",0.00241794423294578
"05-02",0.00180059676921494
"05-03",0.00210927050108036
"05-04",0.00252083547690092
"05-05",0.00241794423294578
"05-06",0.00272661796481119
"05-07",0.00185204239119251
"05-08",0.00180059676921494
"05-09",0.00298384607469904
"05-10",0.00282950920876633
"05-11",0.00241794423294578
"05-12",0.00308673731865418
"05-13",0.00324107418458689
"05-14",0.00252083547690092
"05-15",0.00257228109887849
"05-16",0.00226360736701307
"05-17",0.00216071612305793
"05-18",0.00257228109887849
"05-19",0.00262372672085606
"05-20",0.00262372672085606
"05-21",0.0028809548307439
"05-22",0.00252083547690092
"05-23",0.00298384607469904
"05-24",0.00313818294063175
"05-25",0.00324107418458689
"05-26",0.00236649861096821
"05-27",0.0022121617450355
"05-28",0.00252083547690092
"05-29",0.00216071612305793
"05-30",0.00236649861096821
"05-31",0.0016977055252598
"06-01",0.00272661796481119
"06-02",0.00241794423294578
"06-03",0.00231505298899064
"06-04",0.00272661796481119
"06-05",0.00246938985492335
"06-06",0.00277806358678876
"06-07",0.00236649861096821
"06-08",0.00246938985492335
"06-09",0.00226360736701307
"06-10",0.00241794423294578
"06-11",0.00200637925712522
"06-12",0.00226360736701307
"06-13",0.00216071612305793
"06-14",0.0022121617450355
"06-15",0.0028809548307439
"06-16",0.00262372672085606
"06-17",0.00205782487910279
"06-18",0.00205782487910279
"06-19",0.00252083547690092
"06-20",0.00262372672085606
"06-21",0.0016977055252598
"06-22",0.00257228109887849
"06-23",0.00210927050108036
"06-24",0.00205782487910279
"06-25",0.00210927050108036
"06-26",0.00226360736701307
"06-27",0.00272661796481119
"06-28",0.00272661796481119
"06-29",0.00303529169667661
"06-30",0.00246938985492335
"07-01",0.00277806358678876
"07-02",0.0022121617450355
"07-03",0.00298384607469904
"07-04",0.00277806358678876
"07-05",0.00241794423294578
"07-06",0.00236649861096821
"07-07",0.0028809548307439
"07-08",0.00349830229447474
"07-09",0.00272661796481119
"07-10",0.00257228109887849
"07-11",0.00210927050108036
